cnpj,identificador_matriz_filial,razao_social,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,codigo_pais,nome_pais,natureza_juridica,data_inicio_atividade,cnae,descricao_tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio,municipio_import,ddd1,ddd2,ddd_fax,email,qualificacao_do_responsavel,capital_social,porte,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_do_simples,opcao_pelo_mei,situacao_especial,data_situacao_especial,telefone_completo_1,telefone_completo_2,endereco,municipio,tel_maps,site,whatsapp,instagram,facebook,email_site,score,status,socios,tel_opencnpj,email_opencnpj,site_google,atualizado_em
00000000598623,2,BANCO DO BRASIL SA,FORUM SAO JOSE DOS CAMPOS,2,2008-07-11,0,,,,2038,2008-07-11,6422100,AVENIDA,SALMAO,678,,PRQ. RES. AQUARIUS,12246260,SP,7099,SAO JOSE DOS CAMPOS,12  39234388,,12  39111042,age5971@bb.com.br,10,0.00,05,0,,,0,,,,,"SALMAO, 678 — PRQ. RES. AQUARIUS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000620734,2,BANCO DO BRASIL SA,GENERAL MOTORS SJC (SP),2,2008-12-03,0,,,,2038,2008-12-03,6422100,AVENIDA,GENERAL MOTORS DO BRASIL,1959,GM SJC                    PRACA DOS BANCOS,VISTA VERDE,12224300,SP,7099,SAO JOSE DOS CAMPOS,12  39298402,12  39022540,12  39021824,age5703@bb.com.br,10,0.00,05,0,,,0,,,,,"GENERAL MOTORS DO BRASIL, 1959 — VISTA VERDE",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000620815,2,BANCO DO BRASIL SA,CENTERVALE SHOPPING (SP),2,2008-12-03,0,,,,2038,2008-12-03,6422100,AVENIDA,DEP. BENEDITO MATARAZZO,9403,PISO DUTRA                LOJA S 212,JD. OSVALDO CRUZ,12215900,SP,7099,SAO JOSE DOS CAMPOS,12  21344555,,,,10,0.00,05,0,,,0,,,,,"DEP. BENEDITO MATARAZZO, 9403 — JD. OSVALDO CRUZ",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000650641,2,BANCO DO BRASIL SA,PRESIDENTE JK/ BNC (SP),2,2009-04-16,0,,,,2038,2009-04-16,6422100,AVENIDA,PRESIDENTE JUSCELINO KUBITSCHEK,8260,,VILA INDUSTRIAL,12220000,SP,7099,SAO JOSE DOS CAMPOS,11  21287060,,,,10,0.00,05,0,,,0,,,,,"PRESIDENTE JUSCELINO KUBITSCHEK, 8260 — VILA INDUSTRIAL",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000654558,2,BANCO DO BRASIL SA,SANTANA PARAIBA/ BNC (SP),2,2009-04-16,0,,,,2038,2009-04-16,6422100,AVENIDA,RUI BARBOSA,2234,,SANTANA,12212000,SP,7099,SAO JOSE DOS CAMPOS,11  21287060,,,,10,0.00,05,0,,,0,,,,,"RUI BARBOSA, 2234 — SANTANA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000662909,2,BANCO DO BRASIL SA,ANDROMEDA / BNC (SP),2,2009-04-16,0,,,,2038,2009-04-16,6422100,AVENIDA,ANDROMEDA,1787,,JARDIM SATELITE,12230000,SP,7099,SAO JOSE DOS CAMPOS,11  21287060,,,,10,0.00,05,0,,,0,,,,,"ANDROMEDA, 1787 — JARDIM SATELITE",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000676284,2,BANCO DO BRASIL SA,SAO JOSE DOS CAMPOS/ BNC (SP),2,2009-04-16,0,,,,2038,2009-04-16,6422100,AVENIDA,DOUTOR NELSON D'AVILA,203,,JARDIM SAO DIMAS,12245030,SP,7099,SAO JOSE DOS CAMPOS,11  21287060,,,,10,0.00,05,0,,,0,,,,,"DOUTOR NELSON D'AVILA, 203 — JARDIM SAO DIMAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000689696,2,BANCO DO BRASIL SA,COMANDO-GERAL TEC. AEROESPACIAL S. JOSE DOS CAMPOS SP,2,2010-02-26,0,,,,2038,2010-02-26,6422100,PRAÇA,MARECHAL DO-AR EDUARDO GOMES,50,,CAMPUS CTA,12228615,SP,7099,SAO JOSE DOS CAMPOS,12  39226309,12  39473010,12  39414886,age5899@bb.com.br,10,0.00,05,0,,,0,,,,,"MARECHAL DO-AR EDUARDO GOMES, 50 — CAMPUS CTA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000700509,2,BANCO DO BRASIL SA,ESTILO VALE PARAIBA (SP),2,2011-10-24,0,,,,2038,2011-10-24,6422100,AVENIDA,DR. NELSON DAVILA,203,ANDAR 2,JD. SAO DIMAS,12245030,SP,7099,SAO JOSE DOS CAMPOS,12  37977670,,,age5802@bb.com.br,10,0.00,05,0,,,0,,,,,"DR. NELSON DAVILA, 203 — JD. SAO DIMAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000731722,2,BANCO DO BRASIL SA,ESTILO CASTEJON (SP),2,2012-10-01,0,,,,2038,2012-10-01,6422100,PRACA,CANDIDO DIAS CASTEJON,73,,CENTRO,12245720,SP,7099,SAO JOSE DOS CAMPOS,19  21161103,,,AGE8642@BB.COM.BR,10,0.00,05,0,,,0,,,,,"CANDIDO DIAS CASTEJON, 73 — CENTRO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000761125,2,BANCO DO BRASIL SA,ESCRITORIO EXCLUSIVO V. PARAIBA - SAO JOSE CAMPOS (SP),2,2017-10-04,0,,,,2038,2017-10-04,6422100,AVENIDA,DOUTOR NELSON D'AVILA,203,SALA  EXCLUSIVO,JARDIM SAO DIMAS,12245030,SP,7099,SAO JOSE DOS CAMPOS,19  21161200,,19  21161152,AGE9194@BB.COM.BR,10,0.00,05,0,,,0,,,,,"DOUTOR NELSON D'AVILA, 203 — JARDIM SAO DIMAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00002101000100,1,R & R REPRESENTACAO COMERCIAL LIMITADA,,2,2004-12-24,0,,,,2062,1994-05-13,8299799,AVENIDA,ANDROMEDA,3029,,BOSQUE DOS EUCALIPT,12233000,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,0,,,0,,,,,"ANDROMEDA, 3029 — BOSQUE DOS EUCALIPT",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00002951000108,1,SEM LIMITE EMBALAGENS LTDA,,2,2005-03-12,0,,,,2062,1994-05-10,4761003,RUA,LAGOA SANTA,431,,CHACARAS REUNIDAS,12238340,SP,7099,SAO JOSE DOS CAMPOS,12  39412959,,012 3229326,CONTATO@SEMLIMITE-EMBALAGENS.COM.BR,49,0.00,01,1,2007-07-01,,0,,,,,"LAGOA SANTA, 431 — CHACARAS REUNIDAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00003019000191,1,HORTI VILA SACOLAO LTDA,HORTI VILA,2,2005-11-03,0,,,,2062,1994-05-12,4724500,ESTRADA,MUNIC MARTINS GUIMARAES,130,,JD VALPARAIBA,12221520,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,0,,,0,,,,,"MUNIC MARTINS GUIMARAES, 130 — JD VALPARAIBA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00003252000174,1,JM CENTER COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,,2,2005-11-03,0,,,,2062,1994-05-12,4679699,RUA,CRATO,1065,,PARQUE INDUSTRIAL,12235580,SP,7099,SAO JOSE DOS CAMPOS,12  39212917,12  39226060,12  39227299,scarpel@scarpel.com.br,49,6000.00,05,0,,,0,,,,,"CRATO, 1065 — PARQUE INDUSTRIAL",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00003490000180,1,RAMALHO & ASSUNCAO LTDA,,2,2005-05-21,0,,,,2062,1994-05-12,4729699,RUA,VILACA,236,,CENTRO,12210000,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,1,2007-07-01,,0,,,,,"VILACA, 236 — CENTRO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00004506000179,1,CRISTAL PISCINAS - MANUTENCOES DE PISCINAS EM GERAL LTDA,,2,2001-03-05,0,,,,2062,1994-05-16,8129000,RUA,DOS COMERCIANTES,70,,JARDIM VALPARAIBA,12221840,SP,7099,SAO JOSE DOS CAMPOS,12  97131301,,012 39418204,COMERCIAL.CRISTALPISCINAS@GMAIL.COM,49,5000.00,01,1,2007-07-01,,0,,,,,"DOS COMERCIANTES, 70 — JARDIM VALPARAIBA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00005822000165,1,SECTRON INDUSTRIA E COMERCIO LTDA,SECTRON,2,2002-11-16,0,,,,2062,1994-05-18,2610800,PRACA,CARIRI,252,,CHACARAS REUNIDAS,12238300,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,4177922.30,05,0,,,0,,,,,"CARIRI, 252 — CHACARAS REUNIDAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00006476000130,1,MARIA BENABIDE NASCIMENTO SJCAMPOS,,2,2005-11-03,0,,,,2135,1994-05-18,4774100,RUA,MARACAIBO,52,,JD AMERICA,12235370,SP,7099,SAO JOSE DOS CAMPOS,,,,,50,0.00,01,1,2007-07-01,,0,,,,,"MARACAIBO, 52 — JD AMERICA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00007002000102,1,MARINALVA PEREIRA DOS SANTOS,,2,2004-09-11,0,,,,2135,1994-05-24,4712100,ESTRADA,TORRAO DE OURO,1131,,TORRAO DE OURO,12227788,SP,7099,SAO JOSE DOS CAMPOS,012 3311200,,,,50,0.00,01,1,2007-07-01,,0,,,,,"TORRAO DE OURO, 1131 — TORRAO DE OURO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00007185000166,1,BAKTI COMERCIO E REPRESENTACOES LTDA,,2,2005-11-03,0,,,,2062,1994-05-24,4789099,RUA,LUCELIA,901,,CHAC REUNIDAS,12238450,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,0,,,0,,,,,"LUCELIA, 901 — CHAC REUNIDAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00008527000162,1,J REIS & MARQUES LTDA,,2,2005-11-03,0,,,,2062,1994-05-24,4712100,AVENIDA,SAO GERONIMO,114,,JD SAO JUDAS TADEU,12228350,SP,7099,SAO JOSE DOS CAMPOS,12  39441103,,,JOSEADAO45@UOL.COM.BR,49,0.00,01,1,2007-07-01,,0,,,,,"SAO GERONIMO, 114 — JD SAO JUDAS TADEU",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00008874000195,1,MAURO MELO DA SILVA,,2,2005-01-15,0,,,,2135,1994-05-24,5611203,AVENIDA,JOSE DE MOURA CANDELARIA,308,,VILA INDUSTRIAL,12220400,SP,7099,SAO JOSE DOS CAMPOS,12  39217666,,,satelitecontabil@terra.com.br,50,0.00,01,0,2007-07-01,2019-12-31,0,,,,,"JOSE DE MOURA CANDELARIA, 308 — VILA INDUSTRIAL",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00009073000144,1,IMPACTO ASSESSORIA DE COBRANCA LTDA,IMPACTO,2,2019-03-27,0,,,,2062,1994-05-25,8291100,RUA,EUCLIDES MIRAGAIA,394,SALA  908,JD SAO DIMAS,12245820,SP,7099,SAO JOSE DOS CAMPOS,12  39131411,12  39223152,12  39131714,CONTATOS@DIRECTNET.COM.BR,49,200000.00,01,0,,,0,,,,,"EUCLIDES MIRAGAIA, 394 — JD SAO DIMAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00009127000171,1,DETROIT AUTO CENTER LTDA,DETROIT AUTO CENTER,2,2005-11-03,0,,,,2062,1994-05-24,4789099,AVENIDA,PRES.J.K.DE OLIVEIRA,5026,,JD PAULISTA,12215380,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,0,2007-07-01,2018-12-31,0,,,,,"PRES.J.K.DE OLIVEIRA, 5026 — JD PAULISTA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00010176000124,1,JULIO DA COSTA RENO,CASA PATATIVA,2,2005-11-03,0,,,,2135,1994-05-26,4744001,RUA,PATATIVA,226,,VILA TATETUBA,12220140,SP,7099,SAO JOSE DOS CAMPOS,12  39227447,,12  39413973,eclisboa@ig.com.br,50,0.00,01,1,2007-07-01,,0,,,,,"PATATIVA, 226 — VILA TATETUBA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00011009000106,1,"FIBRAFORTE ENGENHARIA, INDUSTRIA E COMERCIO LTDA",,2,2002-07-06,0,,,,2062,1994-05-30,7112000,RUA,JOSE SIERRA,121,,ELDORADO,12238571,SP,7099,SAO JOSE DOS CAMPOS,12  39397571,12  39397571,12  39397571,valecon@valecon.com.br,49,120000.00,05,0,,,0,,,,,"JOSE SIERRA, 121 — ELDORADO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00011133000163,1,AUGUSTO PEREIRA DE MORAIS SJCAMPOS,,2,2005-11-03,0,,,,2135,1994-05-30,5611203,AVENIDA,SAO AFONSO MARIA,143,,JD SAO JUDAS TADEU,12228340,SP,7099,SAO JOSE DOS CAMPOS,12  39334300,,,contabilindependence@hotmail.com,50,0.00,01,0,2009-01-01,2018-12-31,0,,,,,"SAO AFONSO MARIA, 143 — JD SAO JUDAS TADEU",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00011532000124,1,VALMIR G A MARQUES,,2,2005-08-27,0,,,,2135,1994-05-31,4784900,AVENIDA,OURO FINO,2580,,BOSQUE EUCALIPTOS,12233401,SP,7099,SAO JOSE DOS CAMPOS,12  39361594,12  39361000,,VALMIRGAMARQUES@GMAIL.COM,50,0.00,01,0,2007-07-01,2009-12-31,0,,,,,"OURO FINO, 2580 — BOSQUE EUCALIPTOS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00011534000113,1,REGINALDO DE FREITAS SJCAMPOS,,2,2004-03-26,0,,,,2135,1994-05-31,9529102,AVENIDA,CIDADE JARDIM,5120,,BQ DOS EUCALIPTOS,12233002,SP,7099,SAO JOSE DOS CAMPOS,,,,,50,0.00,01,1,2007-07-01,,0,,,,,"CIDADE JARDIM, 5120 — BQ DOS EUCALIPTOS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00012019000158,1,GUIRRA AGRO COMERCIAL LTDA,,2,2005-01-21,0,,,,2062,1994-06-08,121101,RUA,DOM CARMINE ROCCO,91,SALA 39,VILA PIRATININGA,12216450,SP,7099,SAO JOSE DOS CAMPOS,12  39450445,12  39450445,12  39450445,guirra@guirra.com.br,49,50000.00,01,1,2020-01-01,,0,,,,,"DOM CARMINE ROCCO, 91 — VILA PIRATININGA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00012233000104,1,COMERCIO DE BATERIAS IRMAOS RIBEIRO LTDA,,2,2005-05-14,0,,,,2062,1994-05-31,4530701,RUA,SOL NASCENTE,80,,RESIDENCIAL SOL NASCENTE,12236050,SP,7099,SAO JOSE DOS CAMPOS,12  39321040,,,IRBENSJC@UOL.COM.BR,49,5000.00,01,1,2007-07-01,,0,,,,,"SOL NASCENTE, 80 — RESIDENCIAL SOL NASCENTE",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00013273000170,1,S. V. TORRES DA SILVA COMERCIO DE VESTUARIO,MAGAZINE SUELEN,2,2006-10-30,0,,,,2135,1994-06-01,4781400,RUA,SETE DE SETEMBRO,384,BOX   7 E 8,CENTRO,12210260,SP,7099,SAO JOSE DOS CAMPOS,12  39485357,,,CAG.GONCALVES65@GMAIL.COM,50,10000.00,01,1,2009-01-01,,0,,,,,"SETE DE SETEMBRO, 384 — CENTRO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00014161000134,1,SUNUNGA PART.EMPREEND.CONSTRUCOES E COMERCIO LTDA,SUNUNGA,2,2005-11-03,0,,,,2062,1994-06-07,4110700,AVENIDA,ADHEMAR DE BARROS,1.177,,VILA ADYANA,12245010,SP,7099,SAO JOSE DOS CAMPOS,12  39415941,12  39415941,12  39415941,CLECIO@FATOS-RNC.COM.BR,49,3500000.00,05,0,,,0,,,,,"ADHEMAR DE BARROS, 1.177 — VILA ADYANA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00014283000120,1,JOSE ISMAEL RIBEIRO ACOUGUE,VAREJAO DE CARNES TELESPARK,2,2005-11-03,0,,,,2135,1994-06-07,4722901,RUA,FAUZE DIMAS LUMUMBA GONCALVES,450,,SANTA INES I,12248460,SP,7099,SAO JOSE DOS CAMPOS,12  39293361,12  39293361,12  39293361,mrcontabilidade@uol.com.br,50,0.00,01,0,2007-07-01,2017-12-31,0,,,,,"FAUZE DIMAS LUMUMBA GONCALVES, 450 — SANTA INES I",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00015584000179,1,G.A. MOURA & SANT'ANA LTDA,,2,2005-11-03,0,,,,2062,1994-06-10,4772500,RUA,RUBIAO JUNIOR,334,,CENTRO,12210180,SP,7099,SAO JOSE DOS CAMPOS,12  36255433,,32  26565666,MARCELA_ADM@DICONCONTABILIDADE.COM.BR,49,0.00,01,0,2009-01-01,2018-12-31,0,,,,,"RUBIAO JUNIOR, 334 — CENTRO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00017288000107,1,SAN MICHELE COMERCIO DE LATICINIOS LTDA,,2,2005-11-03,0,,,,2062,1994-06-14,4721103,ESTRADA MUNICIPAL,JUCA CARVALHO,S/N,KM: 40500;,VILA SAO GERALDO,12213210,SP,7099,SAO JOSE DOS CAMPOS,12  91367243,,12  39313566,contabil@muller.speedycorp.com.br,49,4000.00,01,1,2007-07-01,,0,,,,,"JUCA CARVALHO, S/N — VILA SAO GERALDO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00017291000120,1,L A BERBERT,,2,2004-11-26,0,,,,2135,1994-06-15,4744001,AVENIDA,ANDROMEDA,1458,,JARDIM SATELITE,12230001,SP,7099,SAO JOSE DOS CAMPOS,12  32048228,,,LEANDRO@CONTJULIOROBERTO.COM.BR,50,2000.00,01,1,2007-07-01,,0,,,,,"ANDROMEDA, 1458 — JARDIM SATELITE",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00017885000131,1,ANA MARIA SIQUEIRA OLIVEIRA,CENTRO DE RECREACAO INFANTIL HAPPY BABY,2,2005-11-03,0,,,,2135,1994-01-21,8512100,RUA,MAJOR JOSE MARIOTO FERREIRA,69,,VILA BETANIA,12227788,SP,7099,SAO JOSE DOS CAMPOS,012 3311200,,,,50,0.00,01,0,,,0,,,,,"MAJOR JOSE MARIOTO FERREIRA, 69 — VILA BETANIA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00017965000197,1,R C P R COMERCIAL DE CALCADOS LTDA,,2,2000-12-09,0,,,,2062,1994-06-14,4782201,RUA,SETE DE SETEMBRO,136,,CENTRO,12210260,SP,7099,SAO JOSE DOS CAMPOS,12  39253914,,12  36521330,FISCAL@OSCARCALCADOS.COM.BR,5,30000.00,05,0,,,0,,,,,"SETE DE SETEMBRO, 136 — CENTRO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00017990000170,1,SABOR DE CASA RESTAURANTE,SKINA LANCHES,2,2005-11-03,0,,,,2062,1994-06-14,5611201,RUA,WALDOMNIRO R OLIVEIRA,20,,VL INDUSTRIAL,12220430,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,95000.00,01,1,2007-07-01,,0,,,,,"WALDOMNIRO R OLIVEIRA, 20 — VL INDUSTRIAL",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00018282000154,1,MICROSOM APARELHOS AUDITIVOS LTDA,,2,2019-02-18,0,,,,2062,1994-06-17,4789099,RUA,HUMAITA,533,CASA,CENTRO,12245040,SP,7099,SAO JOSE DOS CAMPOS,012 3414362,,012 3414360,,49,0.00,01,0,2007-07-01,2008-12-31,0,,,,,"HUMAITA, 533 — CENTRO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00018446000143,1,EPAMINONDAS & CIA LTDA,,2,2006-12-01,0,,,,2062,1994-06-15,9521500,RUA,ESPINOSA,161,,BQ DOS EUCALIPTOS,12233300,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,0,,,0,,,,,"ESPINOSA, 161 — BQ DOS EUCALIPTOS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
